x	y	error
327.8887751	619.185384	617.5434984
348.5794052	863.5382416	513.2842346
363.2495435	1099.842466	441.617922
373.2075123	1368.42213	394.2154587
375.8848276	1596.386868	381.6598037
373.2075123	1824.351607	394.2154587
363.2495435	2092.931271	441.617922
348.5794052	2329.235495	513.2842346
327.8887751	2573.588353	617.5434984
592.9884693	377.7848215	564.9914469
617.6378656	661.800341	420.6031539
633.4042117	894.8699369	332.9953471
644.5775055	1120.761155	273.7200874
652.159113	1377.927258	235.0656148
654.1971233	1596.386868	224.9150322
652.159113	1814.846479	235.0656148
644.5775055	2072.012582	273.7200874
633.4042117	2297.9038	332.9953471
617.6378656	2530.973396	420.6031539
882.4782999	424.2378355	395.8624785
900.5688259	696.398302	273.2244548
912.1323094	920.3252786	200.6754536
920.3231467	1137.765495	152.817953
925.8790106	1385.656664	122.3681844
927.3721929	1596.386868	114.4985261
925.8790106	1807.117072	122.3681844
920.3231467	2055.008242	152.817953
912.1323094	2272.448458	200.6754536
900.5688259	2496.375435	273.2244548
1113.470822	218.4486851	416.8742523
1127.947576	457.1619617	288.6098687
1141.079557	720.9363791	182.4695249
1149.469849	938.3883106	121.5912653
1155.411086	1149.836649	82.80415114
1159.440073	1391.145321	59.04888482
1160.522756	1596.386868	53.07506177
1159.440073	1801.628416	59.04888482
1155.411086	2042.937088	82.80415114
1149.469849	2254.385426	121.5912653
1141.079557	2471.837358	182.4695249
1352.652057	247.8012512	332.475193
1362.44443	480.7003403	216.8438931
1371.323495	738.4924749	123.601976
1376.994449	951.3184104	72.16068587
1381.009027	1158.48089	41.01833048
1383.73093	1395.076851	23.19654702
1384.462291	1596.386868	18.96981816
1383.73093	1797.696886	23.19654702
1381.009027	2034.292847	41.01833048
1376.994449	2241.455327	72.16068587
1371.323495	2454.281262	123.601976
1576.336163	266.4350596	281.6953916
1582.088025	495.6503025	174.485355
1587.30201	749.6484701	90.03908729
1590.631326	959.5377591	45.27931029
1592.987801	1163.977327	19.86241536
1594.585293	1397.577204	6.893457477
1595.0145	1596.386868	4.227123199
1594.585293	1795.196533	6.893457477
1592.987801	2028.79641	19.86241536
1590.631326	2233.235978	45.27931029
1587.30201	2443.125267	90.03908729
1811.764801	275.8245359	256.2439106
1813.488235	503.1865193	153.5205684
1815.050246	755.2741338	73.87151451
1816.047501	963.6834397	32.9008973
1816.753279	1166.750027	10.95415202
1817.231698	1398.838636	1.387225523
1817.360233	1596.386868	0.119440241
1817.231698	1793.935101	1.387225523
1816.753279	2026.02371	10.95415202
1816.047501	2229.090297	32.9008973
1815.050246	2437.499603	73.87151451
2016.842275	275.8245359	256.2439106
2015.118841	503.1865193	153.5205684
2013.55683	755.2741338	73.87151451
2012.559575	963.6834397	32.9008973
2011.853797	1166.750027	10.95415202
2011.375378	1398.838636	1.387225523
2011.246843	1596.386868	0.119440241
2011.375378	1793.935101	1.387225523
2011.853797	2026.02371	10.95415202
2012.559575	2229.090297	32.9008973
2013.55683	2437.499603	73.87151451
2252.270913	266.4350596	281.6953916
2246.519051	495.6503025	174.485355
2241.305066	749.6484701	90.03908729
2237.97575	959.5377591	45.27931029
2235.619275	1163.977327	19.86241536
2234.021783	1397.577204	6.893457477
2233.592575	1596.386868	4.227123199
2234.021783	1795.196533	6.893457477
2235.619275	2028.79641	19.86241536
2237.97575	2233.235978	45.27931029
2241.305066	2443.125267	90.03908729
2475.955019	247.8012512	332.475193
2466.162645	480.7003403	216.8438931
2457.283581	738.4924749	123.601976
2451.612627	951.3184104	72.16068587
2447.598048	1158.48089	41.01833048
2444.876146	1395.076851	23.19654702
2444.144785	1596.386868	18.96981816
2444.876146	1797.696886	23.19654702
2447.598048	2034.292847	41.01833048
2451.612627	2241.455327	72.16068587
2457.283581	2454.281262	123.601976
2715.136253	218.4486851	416.8742523
2700.659499	457.1619617	288.6098687
2687.527519	720.9363791	182.4695249
2679.137227	938.3883106	121.5912653
2673.19599	1149.836649	82.80415114
2669.167003	1391.145321	59.04888482
2668.084319	1596.386868	53.07506177
2669.167003	1801.628416	59.04888482
2673.19599	2042.937088	82.80415114
2679.137227	2254.385426	121.5912653
2687.527519	2471.837358	182.4695249
2946.128776	424.2378355	395.8624785
2928.03825	696.398302	273.2244548
2916.474766	920.3252786	200.6754536
2908.283929	1137.765495	152.817953
2902.728065	1385.656664	122.3681844
2901.234883	1596.386868	114.4985261
2902.728065	1807.117072	122.3681844
2908.283929	2055.008242	152.817953
2916.474766	2272.448458	200.6754536
2928.03825	2496.375435	273.2244548
3235.618606	377.7848215	564.9914469
3210.96921	661.800341	420.6031539
3195.202864	894.8699369	332.9953471
3184.02957	1120.761155	273.7200874
3176.447963	1377.927258	235.0656148
3174.409952	1596.386868	224.9150322
3176.447963	1814.846479	235.0656148
3184.02957	2072.012582	273.7200874
3195.202864	2297.9038	332.9953471
3210.96921	2530.973396	420.6031539
3533.045021	320.509645	786.4470575
3500.718301	619.185384	617.5434984
3480.027671	863.5382416	513.2842346
3465.357532	1099.842466	441.617922
3455.399563	1368.42213	394.2154587
3452.722248	1596.386868	381.6598037
3455.399563	1824.351607	394.2154587
3465.357532	2092.931271	441.617922
3480.027671	2329.235495	513.2842346
3500.718301	2573.588353	617.5434984
